,Unnamed: 0,Province,GDP ranking ,Year  ,GDP (x10^12CNY),population (x10^7 person),fixed assets investment (x10^12 CNY),total imports and exports (x10^8CNY),fiscal expenditure(x10^12CNY),urban disposal income per capita (x10^4CNY)
50,50,Shandong,Third,2012,5.001324,9.685,3.1256,1.54999852,0.590452,2.575519
51,51,Shandong,Third,2013,5.523032,9.733,3.678907,1.65068307,0.66888,2.688239
52,52,Shandong,Third,2014,5.942659,9.789,4.249555,1.70112192,0.717731,2.922194
53,53,Shandong,Third,2015,6.300233,9.847,4.831244,1.49860162,0.825001,3.154527
54,54,Shandong,Third,2016,6.802449,9.947,5.332294,1.54765718,0.875521,3.401208
55,55,Shandong,Third,2017,7.263415,9.309,5.52027,1.79234,0.92584,3.67894
56,56,Shandong,Third,2018,7.646967,9.367,5.52135,1.93029,1.010096,3.95494
57,57,Zhejiang,Fourth,2000,0.614103,4.68,0.234995,0.23040956,0.04313,0.927916
58,58,Zhejiang,Fourth,2001,0.689834,4.729,0.283494,0.27149705,0.05973,1.046467
59,59,Zhejiang,Fourth,2002,0.800367,4.776,0.347747,0.34729719,0.07499,1.17156
60,60,Zhejiang,Fourth,2003,0.970502,4.857,0.474027,0.50829727,0.089677,1.317953
61,61,Zhejiang,Fourth,2004,1.16487,4.925,0.578135,0.70522377,0.106294,1.454638
62,62,Zhejiang,Fourth,2005,1.341768,4.991,0.652007,0.87970384,0.126553,1.629377
63,63,Zhejiang,Fourth,2006,1.571847,5.072,0.759022,1.10920907,0.147186,1.82651
64,64,Zhejiang,Fourth,2007,1.875373,5.155,0.842043,1.34474739,0.180679,2.057382
65,65,Zhejiang,Fourth,2008,2.146269,5.212,0.9323,1.46634487,0.220858,2.272666
66,66,Zhejiang,Fourth,2009,2.299035,5.276,1.074232,1.28238953,0.265335,2.461081
67,67,Zhejiang,Fourth,2010,2.772231,5.447,1.237604,1.71630285,0.320788,2.735902
68,68,Zhejiang,Fourth,2011,3.231885,5.463,1.418528,1.99820911,0.384259,3.097068
69,69,Zhejiang,Fourth,2012,3.466533,5.477,1.76494,1.97203359,0.416188,3.45503
70,70,Zhejiang,Fourth,2013,3.775659,5.498,2.078211,2.07960664,0.473047,3.707968
71,71,Zhejiang,Fourth,2014,4.017303,5.508,2.426277,2.1809383,0.515957,4.039272
72,72,Zhejiang,Fourth,2015,4.288649,5.539,2.732332,2.15990841,0.664598,4.371448
73,73,Zhejiang,Fourth,2016,4.725136,5.59,3.027607,2.22072467,0.697426,4.723718
74,74,Zhejiang,Fourth,2017,5.176826,5.072,3.1696,2.56051,0.753032,5.12607
75,75,Zhejiang,Fourth,2018,5.619715,5.155,3.16977,2.85116,0.862953,5.55743
76,76,Henan,Fifth,2000,0.505299,9.488,0.137774,0.01889876,0.044553,0.476626
77,77,Henan,Fifth,2001,0.553301,9.555,0.154406,0.02302657,0.050858,0.526742
78,78,Henan,Fifth,2002,0.603548,9.613,0.172593,0.0265148,0.062918,0.62454
79,79,Henan,Fifth,2003,0.68677,9.667,0.226297,0.03900263,0.07166,0.692612
80,80,Henan,Fifth,2004,0.855379,9.717,0.309938,0.05478872,0.087996,0.77049
81,81,Henan,Fifth,2005,1.058742,9.38,0.431163,0.06328021,0.111604,0.866797
82,82,Henan,Fifth,2006,1.236279,9.392,0.590471,0.07808032,0.144009,0.981026
83,83,Henan,Fifth,2007,1.501246,9.36,0.801011,0.09721811,0.187061,1.147705
84,84,Henan,Fifth,2008,1.801853,9.429,1.049064,0.12139574,0.228161,1.323111
85,85,Henan,Fifth,2009,1.948046,9.487,1.37045,0.09205739,0.290576,1.437156
86,86,Henan,Fifth,2010,2.309236,9.405,1.658586,0.12071043,0.341614,1.593026
87,87,Henan,Fifth,2011,2.693103,9.388,1.776895,0.21070271,0.424882,1.81948
88,88,Henan,Fifth,2012,2.959931,9.406,2.145,0.32660124,0.50064,2.044262
89,89,Henan,Fifth,2013,3.21913,9.413,2.608746,0.37132489,0.558231,2.174067
90,90,Henan,Fifth,2014,3.493824,9.436,3.078217,0.39911129,0.602869,2.367206
91,91,Henan,Fifth,2015,3.700216,9.48,3.566035,0.45953484,0.679935,2.557561
92,92,Henan,Fifth,2016,4.047179,9.532,4.041509,0.47138464,0.745374,2.723292
93,93,Henan,Fifth,2017,4.455283,9.392,4.44969,0.00052339,0.821552,2.95579
94,94,Henan,Fifth,2018,4.805586,9.36,4.45096,0.55117,0.921773,3.18742
